"filename", "language", "HTML", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\idaduser\Desktop\Web-User-Interface-Design\artProjects.html", "HTML", 594, 0, 0, 0, 5, 14, 613
"c:\Users\idaduser\Desktop\Web-User-Interface-Design\assets\css.css", "CSS", 0, 0, 657, 0, 16, 150, 823
"c:\Users\idaduser\Desktop\Web-User-Interface-Design\assets\file.js", "JavaScript", 0, 266, 0, 0, 23, 73, 362
"c:\Users\idaduser\Desktop\Web-User-Interface-Design\assets\img\8725846_github_alt_icon.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\idaduser\Desktop\Web-User-Interface-Design\assets\img\Linkin_icon.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\idaduser\Desktop\Web-User-Interface-Design\codeProjects.html", "HTML", 830, 0, 0, 0, 20, 62, 912
"c:\Users\idaduser\Desktop\Web-User-Interface-Design\contact.html", "HTML", 102, 0, 0, 0, 3, 7, 112
"c:\Users\idaduser\Desktop\Web-User-Interface-Design\cv.html", "HTML", 68, 0, 0, 0, 4, 2, 74
"c:\Users\idaduser\Desktop\Web-User-Interface-Design\index.html", "HTML", 143, 0, 0, 0, 6, 5, 154
"c:\Users\idaduser\Desktop\Web-User-Interface-Design\misc.html", "HTML", 122, 0, 0, 0, 5, 7, 134
"Total", "-", 1859, 266, 657, 2, 82, 320, 3186
